Region,2013,2012,2011,2010,2009,2008,2007,2006
Amazonas,0.686178862,0.715155945,0.733517115,0.718266979,0.692068429,0.73384101,0.75870743,0.762738034
Ancash,0.498217822,0.486409156,0.536451169,0.543935927,0.543875082,0.588971995,0.598337292,0.583551769
Apurimac,0.706068602,0.668160253,0.716666667,0.720341109,0.719053549,0.722411627,0.725299829,0.696742503
Arequipa,0.17344934,0.167117361,0.175988287,0.181535855,0.183367023,0.160434783,0.165329768,0.166428367
Ayacucho,0.581048581,0.586109142,0.630820399,0.627236371,0.613775618,0.650833333,0.674642857,0.66055701
Cajamarca,0.748935037,0.761763249,0.757291667,0.770039729,0.770764899,0.780391382,0.802657974,0.747034194
Callao,0,0,0,0,0,0,0,0
Cusco,0.5634792,0.555466238,0.570507863,0.568969474,0.582747431,0.614471847,0.695415118,0.679092382
Huancavelica,0.827889804,0.83324295,0.858234295,0.828242075,0.849621955,0.834140219,0.862561095,0.900255102
1Huanuco,0.691176471,0.69343422,0.695222405,0.709791984,0.692040665,0.691707111,0.705139566,0.689996996
Ica,0.13866471,0.123825584,0.147967061,0.159079413,0.124541228,0.188771222,0.20224445,0.177912158
Junin,0.448665015,0.431730522,0.455377574,0.446260525,0.437830053,0.523653396,0.51033309,0.519476268
La Libertad,0.30427433,0.293852362,0.313550136,0.329689441,0.310941828,0.406757991,0.408123791,0.406098604
Lambayeque,0.211758302,0.200939457,0.228966986,0.246651786,0.207388749,0.273761596,0.279634465,0.283831909
Lima,0.039995745,0.041888026,0.038594869,0.038738948,0.041657856,0.074014156,0.090934606,0.087574396
Loreto,0.38603791,0.390206071,0.409980431,0.332848132,0.403569125,0.388142147,0.391206735,0.387526779
Madre de Dios,0.301804265,0.292990286,0.351592941,0.316169154,0.318650011,0.355314961,0.440420561,0.456510139
Moquegua,0.203326012,0.203213611,0.220038047,0.227461447,0.226500566,0.217520546,0.254579241,0.240634006
Pasco,0.436573725,0.428268051,0.409920329,0.424079942,0.425809255,0.407059212,0.508696748,0.534971
Piura,0.260086013,0.267275368,0.297125302,0.289242001,0.261154578,0.336208414,0.382502769,0.395131616
Puno,0.617811211,0.633275261,0.632508834,0.638859104,0.605843653,0.642107046,0.615531288,0.603988604
San Martin,0.453246753,0.442460317,0.476556291,0.487296748,0.487133299,0.458882326,0.479733943,0.456938484
Tacna,0.186440678,0.177573167,0.173587474,0.178376535,0.177971576,0.216992665,0.181552831,0.145306122
Tumbes,0.109410431,0.084102294,0.105946882,0.110022396,0.11431712,0.1341525,0.182287422,0.185522008
Ucayali,0.284432718,0.263786531,0.268556005,0.280764331,0.282760339,0.312928583,0.322405719,0.289492495
